Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
78,21,9,46,1,Some Random Commen with Id 78
79,21,9,6,1,Some Random Commen with Id 79
80,22,6,49,3,Some Random Commen with Id 80
81,22,6,19,1,Some Random Commen with Id 81
82,22,6,77,2,Some Random Commen with Id 82
83,22,6,45,1,Some Random Commen with Id 83
84,23,0,196,8,Some Random Commen with Id 84
85,23,0,77,4,Some Random Commen with Id 85
86,23,0,108,4,Some Random Commen with Id 86
87,25,0,25,5,Some Random Commen with Id 87
88,25,0,165,3,Some Random Commen with Id 88
89,25,0,117,8,Some Random Commen with Id 89
90,25,0,199,2,Some Random Commen with Id 90
91,25,0,82,1,Some Random Commen with Id 91
92,25,0,134,2,Some Random Commen with Id 92
93,25,0,35,1,Some Random Commen with Id 93
94,26,9,49,6,Some Random Commen with Id 94
95,26,9,185,1,Some Random Commen with Id 95
96,27,7,135,4,Some Random Commen with Id 96
97,27,7,121,5,Some Random Commen with Id 97
98,27,7,164,7,Some Random Commen with Id 98
99,27,7,3,7,Some Random Commen with Id 99
100,28,0,183,6,Some Random Commen with Id 100
101,28,0,106,0,Some Random Commen with Id 101
102,28,0,152,3,Some Random Commen with Id 102
103,28,0,81,8,Some Random Commen with Id 103
104,28,0,163,6,Some Random Commen with Id 104
105,28,0,181,5,Some Random Commen with Id 105
106,29,1,53,6,Some Random Commen with Id 106
107,30,1,30,7,Some Random Commen with Id 107
108,30,1,91,5,Some Random Commen with Id 108
109,30,1,164,3,Some Random Commen with Id 109
110,30,1,44,1,Some Random Commen with Id 110
111,30,1,104,2,Some Random Commen with Id 111
112,31,6,78,5,Some Random Commen with Id 112
113,31,6,41,9,Some Random Commen with Id 113
114,31,6,90,3,Some Random Commen with Id 114
115,31,6,54,6,Some Random Commen with Id 115
116,31,6,79,0,Some Random Commen with Id 116
117,31,6,110,4,Some Random Commen with Id 117
118,31,6,59,1,Some Random Commen with Id 118
119,31,6,94,8,Some Random Commen with Id 119
120,32,8,154,4,Some Random Commen with Id 120
121,32,8,46,1,Some Random Commen with Id 121
122,32,8,85,2,Some Random Commen with Id 122
123,32,8,96,2,Some Random Commen with Id 123
124,33,0,38,8,Some Random Commen with Id 124
125,33,0,115,6,Some Random Commen with Id 125
126,33,0,72,9,Some Random Commen with Id 126
127,34,7,40,1,Some Random Commen with Id 127
128,34,7,98,4,Some Random Commen with Id 128
129,34,7,78,1,Some Random Commen with Id 129
130,34,7,173,3,Some Random Commen with Id 130
131,34,7,21,3,Some Random Commen with Id 131
132,34,7,31,2,Some Random Commen with Id 132
133,34,7,70,9,Some Random Commen with Id 133
134,34,7,104,5,Some Random Commen with Id 134
135,34,7,86,4,Some Random Commen with Id 135
136,35,5,183,8,Some Random Commen with Id 136
137,35,5,55,1,Some Random Commen with Id 137
138,35,5,160,3,Some Random Commen with Id 138
139,35,5,172,9,Some Random Commen with Id 139
140,35,5,66,8,Some Random Commen with Id 140
141,35,5,73,5,Some Random Commen with Id 141
142,35,5,168,4,Some Random Commen with Id 142
143,35,5,32,2,Some Random Commen with Id 143
144,36,5,189,0,Some Random Commen with Id 144
145,36,5,110,2,Some Random Commen with Id 145
146,36,5,199,7,Some Random Commen with Id 146
147,36,5,122,8,Some Random Commen with Id 147
148,36,5,59,8,Some Random Commen with Id 148
149,36,5,99,0,Some Random Commen with Id 149
150,37,6,60,6,Some Random Commen with Id 150
151,37,6,183,7,Some Random Commen with Id 151
152,37,6,148,2,Some Random Commen with Id 152
153,37,6,136,4,Some Random Commen with Id 153
154,37,6,135,9,Some Random Commen with Id 154
155,37,6,23,2,Some Random Commen with Id 155
156,38,6,109,3,Some Random Commen with Id 156
157,39,7,57,6,Some Random Commen with Id 157
158,39,7,170,0,Some Random Commen with Id 158
159,39,7,170,4,Some Random Commen with Id 159
160,39,7,117,2,Some Random Commen with Id 160
161,39,7,32,6,Some Random Commen with Id 161
162,39,7,168,0,Some Random Commen with Id 162
163,39,7,38,4,Some Random Commen with Id 163
164,39,7,180,6,Some Random Commen with Id 164
